ObjectID,Loc_name,Status,Score,Match_type,Match_addr,Xmin,Xmax,Ymin,Ymax,Addr_type,ARC_SingleLine,datum_a_čas_přestupku,místo_přestupku,typ_přestupku,adresa,X,Y
1,ul_co_zn,M,100,A,V aleji 49,0,0,0,0,Address,V aleji 49,2013-07-02 12:42:00.000,"V aleji 49, Brno-Holásky","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",V aleji 49,16.6480203897042,49.1508851159561
2,ul_co_zn,M,100,A,Hlinky 146,0,0,0,0,Address,Hlinky 146,2013-07-09 22:38:00.000,"Hlinky 146, Brno-Pisárky","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Hlinky 146,16.5727219017288,49.1934682691107
3,ul_co_zn,M,100,A,Trnkova 109,0,0,0,0,Address,Trnkova 109,2013-07-25 16:10:00.000,"Trnkova 109, Brno-Líšeň","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 2 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Trnkova 109,16.6813699098815,49.1997886403038
4,ul_co_zn,M,100,A,Plotní 41,0,0,0,0,Address,Plotní 41,2013-07-29 23:44:00.000,"Plotní 41, Brno-Komárov","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Plotní 41,16.6188805590955,49.1845659309497
5,ul_co_zn,M,100,A,Lány 78,0,0,0,0,Address,Lány 78,2013-08-14 21:30:00.000,"Lány 78, Brno-Bohunice","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Lány 78,16.5917161109366,49.1641314800274
6,ul_co_zn,M,100,A,Trnkova 109,0,0,0,0,Address,Trnkova 109,2013-08-16 21:11:00.000,"Trnkova 109, Brno-Líšeň","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Trnkova 109,16.6813699098815,49.1997886403038
7,pomistni_rychl,M,100,A,Okružní-EuroOil,0,0,0,0,Address,Okružní-EuroOil,2013-10-05 20:34:00.000,"Okružní-EuroOil, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Okružní-EuroOil,16.6212658158719,49.2328241239748
8,ul_co_zn,M,100,A,Obřanská 65,0,0,0,0,Address,Obřanská 65,2013-10-29 20:34:00.000,"Obřanská 65, Brno-Maloměřice","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 3 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Obřanská 65,16.6443990365118,49.2242918866618
9,pomistni_rychl,M,100,A,Okružní-EuroOil,0,0,0,0,Address,Okružní-EuroOil,2013-11-19 13:32:00.000,"Okružní-EuroOil, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Okružní-EuroOil,16.6212658158719,49.2328241239748
10,ul_co_zn,M,100,A,Úvoz 7,0,0,0,0,Address,Úvoz 7,2014-01-25 04:25:00.000,"Úvoz 7, Brno","§ 18 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů|§ 125c odst. 1 písm. f) bod 4 zákona č. 361/2000 Sb., o provozu na pozemních komunikacích a o změnách některých zákonů, ve znění pozdějších předpisů",Úvoz 7,16.5948751195968,49.194281896727
